célia,célia.N+Pr:fs;@SÉ-LÍ-6
consolidaram,consolidar.V:J3p;KÕ-SÔ-LÍ-@DÁ-ŔÃŴ
consolidaram,consolidar.V:Q3p;KÕ-SÔ-LÍ-@DÁ-ŔÃŴ
aventureira,aventureiro.A:fs;Á-VẼ-TÚ-@ŔÊY-Ŕ6
aventureira,aventureiro.N:fs;Á-VẼ-TÚ-@ŔÊY-Ŕ6
convocaram,convocar.V:J3p;KÕ-VÔ-@KÁ-ŔÃŴ
convocaram,convocar.V:Q3p;KÕ-VÔ-@KÁ-ŔÃŴ
joalheria,joalheria.N:fs;JÔ-Á-ĹÊ-@ŔÍ-6
mago,mago.A:ms;@MÁ-GU
mago,mago.N:ms;@MÁ-GU
prevenção,prevenção.N:fs;PŔÊ-VẼ-@SÃŴ
costas,costa.N:fp;@KÓS-T6S
florida,florido.A:fs;FLÓ-@ŔÍ-D6
florida,florido.V:K;FLÓ-@ŔÍ-D6
florida,florido.A:fs;FLÔ-@ŔÍ-D6
florida,florido.V:K;FLÔ-@ŔÍ-D6
rastro,rastro.N:ms;@HÁS-TŔU
abacaxi,abacaxi.N:ms;Á-BÁ-KÁ-@XÍ
caótica,caótico.A:fs;KÁ-@Ó-7Í-K6
engordam,engordar.V:P3p;Ẽ-@GÓR-DÃŴ
broto,broto.V:P1s;@BŔÔ-TU
broto,broto.N:ms;@BŔÔ-TU
garrafa,garrafa.N:fs;GÁ-@HÁ-F6
subversiva,subversivo.A:fs;SÚB-VÊH-@SÍ-V6
subversiva,subversivo.N:fs;SÚB-VÊH-@SÍ-V6
partitura,partitura.N:fs;PÁH-7Í-@TÚ-Ŕ6
justifica,justificar.V:P3s;JÚX-7Í-@FÍ-K6
justifica,justificar.V:Y2s;JÚX-7Í-@FÍ-K6
montaram,montar.V:J3p;MÕ-@TÁ-ŔÃŴ
montaram,montar.V:Q3p;MÕ-@TÁ-ŔÃŴ
carbonizados,carbonizar.V:K;KÁR-BÔ-NÍ-@ZÁ-DUS
atena,atena.N+Pr:;Á-@TẼ-N6
carta,carta.V:P3s;@KÁH-T6
carta,carta.V:Y2s;@KÁH-T6
carta,carta.N:fs;@KÁH-T6
favorecido,favorecido.A:ms;FÁ-VÔ-ŔÊ-@SÍ-DU
favorecido,favorecido.V:K;FÁ-VÔ-ŔÊ-@SÍ-DU
presidiu,presidir.V:J3s;PŔÊ-ZÍ-@8ÍW
promocional,promocional.A:ms;PŔÔ-MÔ-SÍ-Ô-@NÁW
promocional,promocional.A:fs;PŔÔ-MÔ-SÍ-Ô-@NÁW
removida,removido.A:fs;HÊ-MÔ-@VÍ-D6
removida,removido.V:K;HÊ-MÔ-@VÍ-D6
coreanas,coreano.A:fp;KÔ-ŔÊ-@Ã-N6S
coreanas,coreano.N:fp;KÔ-ŔÊ-@Ã-N6S
coreanas,coreano.A:fp;KÔ-ŔÊ-@Ã-N6S
coreanas,coreano.N:fp;KÔ-ŔÊ-@Ã-N6S
doceira,doceiro.N:fs;DÔ-@SÊY-Ŕ6
arábia,arábia.N+Pr:;Á-@ŔÁ-BÍ-6
percebida,percebido.A:fs;PÊH-SÊ-@BÍ-D6
percebida,percebido.V:K;PÊH-SÊ-@BÍ-D6
driblado,driblar.V:K;DŔÍ-@BLÁ-DU
depositário,depositário.A:ms;DÊ-PÔ-ZÍ-@TÁ-ŔÍ-U
depositário,depositário.N:ms;DÊ-PÔ-ZÍ-@TÁ-ŔÍ-U
depositário,depositário.A:ms;DÊ-PÔ-ZÍ-@TÁ-ŔÍ-U
depositário,depositário.N:ms;DÊ-PÔ-ZÍ-@TÁ-ŔÍ-U
redigida,redigido.A:fs;HÊ-8Í-@JÍ-D6
redigida,redigido.V:K;HÊ-8Í-@JÍ-D6
protestar,protestar.V:W1s;PŔÔ-TÊS-@TÁH
protestar,protestar.V:W3s;PŔÔ-TÊS-@TÁH
protestar,protestar.V:U1s;PŔÔ-TÊS-@TÁH
protestar,protestar.V:U3s;PŔÔ-TÊS-@TÁH
moedas,moeda.N:fp;MÔ-@É-D6S
tenta,tenta.V:P3s;@TẼ-T6
tenta,tenta.V:Y2s;@TẼ-T6
tenta,tenta.N:fs;@TẼ-T6
austin,austin.N+Pr:;ÁWX-@7Ĩ
peleja,peleja.V:P3s;PÊ-@LÊ-J6
peleja,peleja.V:Y2s;PÊ-@LÊ-J6
peleja,peleja.N:fs;PÊ-@LÊ-J6
peculiaridade,peculiaridade.N:fs;PÊ-KÚ-LÍ-Á-ŔÍ-@DÁ-8I
frustrante,frustrante.A:ms;FŔÚS-@TŔÃ-7I
frustrante,frustrante.A:fs;FŔÚS-@TŔÃ-7I
previsões,previsão.N:fp;PŔÊ-VÍ-@ZÕỸS
representavam,representar.V:I3p;HÊ-PŔÊ-ZẼ-@TÁ-VÃŴ
petroquímica,petroquímico.A:fs;PÊ-TŔÔ-@KĨ-MÍ-K6
petroquímica,petroquímico.N:fs;PÊ-TŔÔ-@KĨ-MÍ-K6
plantas,planta.V:P2s;@PLÃ-T6S
plantas,planta.N:fp;@PLÃ-T6S
sucedeu,suceder.V:J3s;SÚ-SÊ-@DÊW
salienta,salientar.V:P3s;SÁ-LÍ-@Ẽ-T6
salienta,salientar.V:Y2s;SÁ-LÍ-@Ẽ-T6
invisíveis,invisível.A:mp;Ĩ-VÍ-@ZÍ-VÊYS
invisíveis,invisível.A:fp;Ĩ-VÍ-@ZÍ-VÊYS
invisíveis,invisível.N:mp;Ĩ-VÍ-@ZÍ-VÊYS
invisíveis,invisível.N:fp;Ĩ-VÍ-@ZÍ-VÊYS
adrenalina,adrenalina.N:fs;Á-DŔÊ-NÁ-@LĨ-N6
negreiro,negreiro.A:ms;NÊ-@GŔÊY-ŔU
negreiro,negreiro.N:ms;NÊ-@GŔÊY-ŔU
ferrenho,ferrenho.A:ms;FÊ-@HẼ-ÑU
unanimidade,unanimidade.N:fs;Ú-NÁ-NÍ-MÍ-@DÁ-8I
trazidas,trazido.A:fp;TŔÁ-@ZÍ-D6S
trazidas,trazido.V:K;TŔÁ-@ZÍ-D6S
trazidas,trazido.N:fp;TŔÁ-@ZÍ-D6S
compacta,compacto.A:fs;KÕ-@PÁK-T6
compacta,compacto.V:P3s;KÕ-@PÁK-T6
compacta,compacto.V:Y2s;KÕ-@PÁK-T6
compacta,compacto.A:fs;KÕ-@PÁK-T6
compacta,compacto.V:P3s;KÕ-@PÁK-T6
compacta,compacto.V:Y2s;KÕ-@PÁK-T6
compacta,compacto.A:fs;KÕ-@PÁK-T6
compacta,compacto.V:P3s;KÕ-@PÁK-T6
compacta,compacto.V:Y2s;KÕ-@PÁK-T6
atingiria,atingir.V:C1s;Á-7Ĩ-JÍ-@ŔÍ-6
atingiria,atingir.V:C3s;Á-7Ĩ-JÍ-@ŔÍ-6
prefixos,prefixo.A:mp;PŔÊ-@FÍ-QUS
prefixos,prefixo.N:mp;PŔÊ-@FÍ-QUS
mantenedora,mantenedor.A:fs;MÃ-TÊ-NÊ-@DÔ-Ŕ6
mantenedora,mantenedor.N:fs;MÃ-TÊ-NÊ-@DÔ-Ŕ6
corintianos,corintiano.A:mp;KÔ-ŔĨ-7Í-@Ã-NUS
narrada,narrado.A:fs;NÁ-@HÁ-D6
narrada,narrado.V:K;NÁ-@HÁ-D6
narrada,narrado.N:fs;NÁ-@HÁ-D6
britânicas,britânico.A:fp;BŔÍ-@TÃ-NÍ-K6S
britânicas,britânico.N:fp;BŔÍ-@TÃ-NÍ-K6S
britânicas,britânico.N+Pr:;BŔÍ-@TÃ-NÍ-K6S
mulherengo,mulherengo.A:ms;MÚ-ĹÊ-@ŔẼ-GU
mulherengo,mulherengo.N:ms;MÚ-ĹÊ-@ŔẼ-GU
objetivas,objetivo.A:fp;ÔB-JÊ-@7Í-V6S
objetivas,objetivo.V:P2s;ÔB-JÊ-@7Í-V6S
objetivas,objetivo.A:fp;ÔB-JÊ-@7Í-V6S
objetivas,objetivo.V:P2s;ÔB-JÊ-@7Í-V6S
manteria,manter.V:C1s;MÃ-TÊ-@ŔÍ-6
manteria,manter.V:C3s;MÃ-TÊ-@ŔÍ-6
agredidos,agredido.A:mp;Á-GŔÊ-@8Í-DUS
agredidos,agredido.V:K;Á-GŔÊ-@8Í-DUS
agredidos,agredido.N:mp;Á-GŔÊ-@8Í-DUS
desconsideração,desconsideração.N:fs;DÊS-KÕ-SÍ-DÊ-ŔÁ-@SÃŴ
granja,granja.N:fs;@GŔÃ-J6
poltrona,poltrão.A:fs;PÔW-@TŔÕ-N6
poltrona,poltrão.N:fs;PÔW-@TŔÕ-N6
diabos,diabo.N:mp;8Í-@Á-BUS
relíquias,relíquia.N:fp;HÊ-@LÍ-KÍ-6S
incensos,incenso.N:mp;Ĩ-@SẼ-SUS
hipotecárias,hipotecário.A:fp;Í-PÔ-TÊ-@KÁ-ŔÍ-6S
drinques,drinque.N:mp;@DŔĨ-KIS
perna,perna.N:fs;@PÉR-N6
colaboradora,colaborador.A:fs;KÔ-LÁ-BÔ-ŔÁ-@DÔ-Ŕ6
colaboradora,colaborador.N:fs;KÔ-LÁ-BÔ-ŔÁ-@DÔ-Ŕ6
colaboradora,colaborador.A:fs;KÔ-LÁ-BÔ-ŔÁ-@DÔ-Ŕ6
colaboradora,colaborador.N:fs;KÔ-LÁ-BÔ-ŔÁ-@DÔ-Ŕ6
misto,misto.A:ms;@MÍS-TU
misto,misto.N:ms;@MÍS-TU
misto,misto.A:ms;@MÍS-TU
misto,misto.N:ms;@MÍS-TU
misto,misto.A:ms;@MÍS-TU
misto,misto.N:ms;@MÍS-TU
renovável,renovável.A:ms;HÔ-NÔ-@VÁ-VÊW
renovável,renovável.A:fs;HÔ-NÔ-@VÁ-VÊW
pronunciando,pronunciar.V:G;PŔÔ-NŨ-SÍ-@Ã-DU
acertaram,acertar.V:J3p;Á-SÊH-@TÁ-ŔÃŴ
acertaram,acertar.V:Q3p;Á-SÊH-@TÁ-ŔÃŴ
risoto,risoto.N:ms;HÍ-@ZÓ-TU
óleo,óleo.N:ms;@Ó-LÍ-U
replicar,replicar.V:W1s;HÊ-PLÍ-@KÁH
replicar,replicar.V:W3s;HÊ-PLÍ-@KÁH
replicar,replicar.V:U1s;HÊ-PLÍ-@KÁH
replicar,replicar.V:U3s;HÊ-PLÍ-@KÁH
badalações,badalação.N:fp;BÁ-DÁ-LÁ-@SÕỸS
veiculada,veicular.V:K;VÊY-KÚ-@LÁ-D6
andorinha,andorinha.N:fs;Ã-DÔ-@ŔĨ-Ñ6
optando,optar.V:G;ÔP-@TÃ-DU
adolfo,adolfo.N+Pr:;Á-@DÔW-FU
cânticos,cântico.N:mp;@KÃ-7Í-KUS
retém,retém.A:ms;HÊ-@TẼỸ
retém,retém.A:fs;HÊ-@TẼỸ
retém,retém.V:P3s;HÊ-@TẼỸ
retém,retém.V:Y2s;HÊ-@TẼỸ
retém,retém.N:ms;HÊ-@TẼỸ
retém,retém.N:fs;HÊ-@TẼỸ
poderiam,poder.V:C3p;PÔ-DÊ-@ŔÍ-ÃŴ
poderiam,poder.V:C3p;PÔ-DÊ-@ŔÍ-ÃŴ
selecionar,selecionar.V:W1s;SÊ-LÊ-SÍ-Ô-@NÁH
selecionar,selecionar.V:W3s;SÊ-LÊ-SÍ-Ô-@NÁH
selecionar,selecionar.V:U1s;SÊ-LÊ-SÍ-Ô-@NÁH
selecionar,selecionar.V:U3s;SÊ-LÊ-SÍ-Ô-@NÁH
manobrista,manobrista.N:ms;MÁ-NÔ-@BŔÍS-T6
manobrista,manobrista.N:fs;MÁ-NÔ-@BŔÍS-T6
olhem,olhar.V:S3p;@Ó-ĹẼỸ
olhem,olhar.V:Y3p;@Ó-ĹẼỸ
inafiançável,inafiançável.A:ms;Í-NÁ-FÍ-Ã-@SÁ-VÊW
inafiançável,inafiançável.A:fs;Í-NÁ-FÍ-Ã-@SÁ-VÊW
representaram,representar.V:J3p;HÊ-PŔÊ-ZẼ-@TÁ-ŔÃŴ
representaram,representar.V:Q3p;HÊ-PŔÊ-ZẼ-@TÁ-ŔÃŴ
apresentei,apresentar.V:J1s;Á-PŔÊ-ZẼ-@TÊY
peritos,perito.A:mp;PÊ-@ŔÍ-TUS
peritos,perito.N:mp;PÊ-@ŔÍ-TUS
charmoso,charmoso.A:ms;XÁR-@MÔ-ZU
desinteressada,desinteressado.A:fs;DÊ-ZĨ-TÊ-ŔÊ-@SÁ-D6
desinteressada,desinteressado.V:K;DÊ-ZĨ-TÊ-ŔÊ-@SÁ-D6
psicanalítico,psicanalítico.A:ms;PSÍ-KÁ-NÁ-@LÍ-7Í-KU
psicanalítico,psicanalítico.A:ms;PSÍ-KÁ-NÁ-@LÍ-7Í-KU
maxilar,maxilar.A:ms;MÁ-QÍ-@LÁH
maxilar,maxilar.A:fs;MÁ-QÍ-@LÁH
maxilar,maxilar.N:ms;MÁ-QÍ-@LÁH
maxilar,maxilar.N:fs;MÁ-QÍ-@LÁH
alvarenga,alvarenga.N+Pr:;ÁW-VÁ-@ŔẼ-G6
chuteiras,chuteira.N:fp;XÚ-@TÊY-Ŕ6S
aristocrata,aristocrata.A:ms;Á-ŔÍS-TÔ-@KŔÁ-T6
aristocrata,aristocrata.A:fs;Á-ŔÍS-TÔ-@KŔÁ-T6
aristocrata,aristocrata.N:ms;Á-ŔÍS-TÔ-@KŔÁ-T6
aristocrata,aristocrata.N:fs;Á-ŔÍS-TÔ-@KŔÁ-T6
trazia,trazer.V:I1s;TŔÁ-@ZÍ-6
trazia,trazer.V:I3s;TŔÁ-@ZÍ-6
humanistas,humanista.A:mp;Ú-MÁ-@NÍS-T6S
humanistas,humanista.A:fp;Ú-MÁ-@NÍS-T6S
humanistas,humanista.N:mp;Ú-MÁ-@NÍS-T6S
humanistas,humanista.N:fp;Ú-MÁ-@NÍS-T6S
sacerdotes,sacerdote.N:mp;SÁ-SÊR-@DÓ-7IS
hediondo,hediondo.A:ms;Ê-8Í-@Õ-DU
irritante,irritante.A:ms;Í-HÍ-@TÃ-7I
irritante,irritante.A:fs;Í-HÍ-@TÃ-7I
irritante,irritante.N:ms;Í-HÍ-@TÃ-7I
irritante,irritante.N:fs;Í-HÍ-@TÃ-7I
sólido,sólido.A:ms;@SÓ-LÍ-DU
sólido,sólido.N:ms;@SÓ-LÍ-DU
sólido,sólido.A:ms;@SÓ-LÍ-DU
sólido,sólido.N:ms;@SÓ-LÍ-DU
assassino,assassino.A:ms;Á-SÁ-@SĨ-NU
assassino,assassino.V:P1s;Á-SÁ-@SĨ-NU
assassino,assassino.N:ms;Á-SÁ-@SĨ-NU
assassino,assassino.A:ms;Á-SÁ-@SĨ-NU
assassino,assassino.V:P1s;Á-SÁ-@SĨ-NU
assassino,assassino.N:ms;Á-SÁ-@SĨ-NU
checagem,checagem.N:fs;XÊ-@KÁ-JẼỸ
ficava,ficar.V:I1s;FÍ-@KÁ-V6
ficava,ficar.V:I3s;FÍ-@KÁ-V6
implantação,implantação.N:fs;Ĩ-PLÃ-TÁ-@SÃŴ
abrigar,abrigar.V:W1s;Á-BŔÍ-@GÁH
abrigar,abrigar.V:W3s;Á-BŔÍ-@GÁH
abrigar,abrigar.V:U1s;Á-BŔÍ-@GÁH
abrigar,abrigar.V:U3s;Á-BŔÍ-@GÁH
apertando,apertar.V:G;Á-PÊH-@TÃ-DU
sobrevivemos,sobreviver.V:P1p;SÔ-BŔÊ-VÍ-@VẼ-MUS
sobrevivemos,sobreviver.V:J1p;SÔ-BŔÊ-VÍ-@VẼ-MUS
subsidiado,subsidiado.A:ms;SÚB-SÍ-8Í-@Á-DU
subsidiado,subsidiado.V:K;SÚB-SÍ-8Í-@Á-DU
infantis,infantil.A:mp;Ĩ-FÃ-@7ÍS
infantis,infantil.A:fp;Ĩ-FÃ-@7ÍS
cansativa,cansativo.A:fs;KÃ-SÁ-@7Í-V6
revoltados,revoltado.A:mp;HÊ-VÔW-@TÁ-DUS
revoltados,revoltado.V:K;HÊ-VÔW-@TÁ-DUS
revoltados,revoltado.N:mp;HÊ-VÔW-@TÁ-DUS
nasa,nasa.SIGL:;@NÁ-Z6
evangelho,evangelho.N:ms;Ê-VÃ-@JÊ-ĹU
higiênico,higiênico.A:ms;Í-JÍ-@Ẽ-NÍ-KU
soubermos,saber.V:U1p;SÔW-@BÉR-MUS
sofrido,sofrer.V:K;SÔ-@FŔÍ-DU
interessando,interessar.V:G;Ĩ-TÊ-ŔÊ-@SÃ-DU
comunicar,comunicar.V:W1s;KÔ-MÚ-NÍ-@KÁH
comunicar,comunicar.V:W3s;KÔ-MÚ-NÍ-@KÁH
comunicar,comunicar.V:U1s;KÔ-MÚ-NÍ-@KÁH
comunicar,comunicar.V:U3s;KÔ-MÚ-NÍ-@KÁH
despejo,despejo.V:P1s;DÊS-@PÊ-JU
despejo,despejo.N:ms;DÊS-@PÊ-JU
permeiam,permear.V:P3p;PÊR-@MÊY-ÃŴ
matança,matança.N:fs;MÁ-@TÃ-S6
destrói,destruir.V:P3s;DÊS-@TŔÓY
destrói,destruir.V:Y2s;DÊS-@TŔÓY
isentou,isentar.V:J3s;Í-ZẼ-@TÔW
rodízio,rodízio.N:ms;HÔ-@8Í-ZÍ-U
andares,andar.V:W2s;Ã-@DÁ-ŔIS
andares,andar.V:U2s;Ã-@DÁ-ŔIS
andares,andar.N:mp;Ã-@DÁ-ŔIS
artesanato,artesanato.N:ms;ÁH-TÊ-ZÁ-@NÁ-TU
temperatura,temperatura.N:fs;TẼ-PÊ-ŔÁ-@TÚ-Ŕ6
sucuri,sucuri.N:ms;SÚ-KÚ-@ŔÍ
sucuri,sucuri.N:fs;SÚ-KÚ-@ŔÍ
parcialidade,parcialidade.N:fs;PÁH-SÍ-Á-LÍ-@DÁ-8I
disseca,dissecar.V:P3s;8Í-@SÉ-K6
disseca,dissecar.V:Y2s;8Í-@SÉ-K6
afastará,afastar.V:F3s;Á-FÁS-TÁ-@ŔÁ
justamente,justamente.ADV:;JÚS-TÁ-@MẼ-7I
sementes,semente.V:S2s;SÊ-@MẼ-7IS
sementes,semente.N:fp;SÊ-@MẼ-7IS
seguram,segurar.V:P3p;SÊ-@GÚ-ŔÃŴ
insucesso,insucesso.N:ms;Ĩ-SÚ-@SÉ-SU
castelos,castelo.N:mp;KÁS-@TÉ-LUS
recorrem,recorrer.V:P3p;HÊ-@KÓ-HẼỸ
marca,marca.V:P3s;@MÁH-K6
marca,marca.V:Y2s;@MÁH-K6
marca,marca.N:fs;@MÁH-K6
marca,marca.V:P3s;@MÁH-K6
marca,marca.V:Y2s;@MÁH-K6
marca,marca.N:fs;@MÁH-K6
abarcar,abarcar.V:W1s;Á-BÁH-@KÁH
abarcar,abarcar.V:W3s;Á-BÁH-@KÁH
abarcar,abarcar.V:U1s;Á-BÁH-@KÁH
abarcar,abarcar.V:U3s;Á-BÁH-@KÁH
irregulares,irregular.A:mp;Í-HÊ-GÚ-@LÁ-ŔIS
irregulares,irregular.A:fp;Í-HÊ-GÚ-@LÁ-ŔIS
irregulares,irregular.N:mp;Í-HÊ-GÚ-@LÁ-ŔIS
irregulares,irregular.N:mp;Í-HÊ-GÚ-@LÁ-ŔIS
irregulares,irregular.N:fp;Í-HÊ-GÚ-@LÁ-ŔIS
verbetes,verbete.V:S2s;VÊR-@BÊ-7IS
verbetes,verbete.N:mp;VÊR-@BÊ-7IS
projetos,projeto.N:mp;PŔÔ-@JÉ-TUS
utilização,utilização.N:fs;Ú-7Í-LÍ-ZÁ-@SÃŴ
imprevista,imprevisto.A:fs;Ĩ-PŔÊ-@VÍS-T6
imprevista,imprevisto.N:fs;Ĩ-PŔÊ-@VÍS-T6
réplicas,réplica.N:fp;@HÉ-PLÍ-K6S
disseminar,disseminar.V:W1s;8Í-SÊ-MÍ-@NÁH
disseminar,disseminar.V:W3s;8Í-SÊ-MÍ-@NÁH
disseminar,disseminar.V:U1s;8Í-SÊ-MÍ-@NÁH
disseminar,disseminar.V:U3s;8Í-SÊ-MÍ-@NÁH
fichário,fichário.N:ms;FÍ-@XÁ-ŔÍ-U
vulgarização,vulgarização.N:fs;VÚW-GÁ-ŔÍ-ZÁ-@SÃŴ
pressionou,pressionar.V:J3s;PŔÊ-SÍ-Ô-@NÔW
adequadas,adequado.A:fp;Á-DÊ-@KWÁ-D6S
adequadas,adequado.V:K;Á-DÊ-@KWÁ-D6S
ralado,ralado.A:ms;HÁ-@LÁ-DU
ralado,ralado.V:K;HÁ-@LÁ-DU
consideradas,considerar.V:K;KÕ-SÍ-DÊ-@ŔÁ-D6S
quercistas,quercista.A:mp;KÊH-@SÍS-T6S
quercistas,quercista.A:fp;KÊH-@SÍS-T6S
satisfatório,satisfatório.A:ms;SÁ-7ÍS-FÁ-@TÓ-ŔÍ-U
sítios,sítio.N:mp;@SÍ-7Í-US
confrontados,confrontado.A:mp;KÕ-FŔÕ-@TÁ-DUS
confrontados,confrontado.V:K;KÕ-FŔÕ-@TÁ-DUS
dispensou,dispensar.V:J3s;8ÍS-PẼ-@SÔW
votante,votante.A:ms;VÔ-@TÃ-7I
votante,votante.A:fs;VÔ-@TÃ-7I
votante,votante.N:ms;VÔ-@TÃ-7I
votante,votante.N:fs;VÔ-@TÃ-7I
denominar,denominar.V:W1s;DÊ-NÔ-MÍ-@NÁH
denominar,denominar.V:W3s;DÊ-NÔ-MÍ-@NÁH
denominar,denominar.V:U1s;DÊ-NÔ-MÍ-@NÁH
denominar,denominar.V:U3s;DÊ-NÔ-MÍ-@NÁH
assimiladas,assimilar.V:K;Á-SÍ-MÍ-@LÁ-D6S
assistencial,assistencial.A:ms;Á-SÍS-TẼ-SÍ-@ÁW
assistencial,assistencial.A:fs;Á-SÍS-TẼ-SÍ-@ÁW
fingindo,fingir.V:G;FĨ-@JĨ-DU
fingindo,fingir.V:G;FĨ-@JĨ-DU
notificar,notificar.V:W1s;NÔ-7Í-FÍ-@KÁH
notificar,notificar.V:W3s;NÔ-7Í-FÍ-@KÁH
notificar,notificar.V:U1s;NÔ-7Í-FÍ-@KÁH
notificar,notificar.V:U3s;NÔ-7Í-FÍ-@KÁH
reviu,rever.V:J3s;HÊ-@VÍW
desenvolvimento,desenvolvimento.N:ms;DÊ-ZẼ-VÔW-VÍ-@MẼ-TU
